"filename","handle"
tas_mon_CanESM5_historical_r27i1p2f1_native.nc,hdl:21.14100/d7eac7fe-c7cf-4b8c-817b-f2012b8be9d2
tas_mon_CanESM5_historical_r28i1p2f1_native.nc,hdl:21.14100/83728182-850e-4925-b105-3a1a4af9f1e1
tas_mon_CanESM5_historical_r29i1p2f1_native.nc,hdl:21.14100/7b55e908-0ab9-4868-a86d-b1f11b765937
tas_mon_CanESM5_historical_r2i1p2f1_native.nc,hdl:21.14100/e4509250-a6b4-416c-90f5-79699dbd1d52
tas_mon_CanESM5_historical_r30i1p2f1_native.nc,hdl:21.14100/db2ced2a-74ab-4b90-863c-9a23b5bc33f8
tas_mon_CanESM5_historical_r31i1p2f1_native.nc,hdl:21.14100/31ef704e-d8a2-47e3-9df4-5aa9d9840d5e
tas_mon_CanESM5_historical_r32i1p2f1_native.nc,hdl:21.14100/bbf1c0bd-6a45-4ad1-a85c-f0d9ed75e4a4
tas_mon_CanESM5_historical_r33i1p2f1_native.nc,hdl:21.14100/945ecf71-eef3-4b5a-884b-bd20e04c3b4c
tas_mon_CanESM5_historical_r34i1p2f1_native.nc,hdl:21.14100/3430f2ef-4bf9-46ed-9fc3-dabeea625b6a
tas_mon_CanESM5_historical_r35i1p2f1_native.nc,hdl:21.14100/4b9a79f3-8521-487d-93b3-de73bcd19cdd
tas_mon_CanESM5_historical_r36i1p2f1_native.nc,hdl:21.14100/c1dc690f-ad4f-48a4-b62b-3bd624f41a87
tas_mon_CanESM5_historical_r37i1p2f1_native.nc,hdl:21.14100/50688942-ebe1-4f22-a793-c42ac1880bab
tas_mon_CanESM5_historical_r38i1p2f1_native.nc,hdl:21.14100/d45a5cc0-f361-431b-8ff4-dc5d01e3f059
tas_mon_CanESM5_historical_r39i1p2f1_native.nc,hdl:21.14100/8d182b87-093e-4d51-a013-9fba31304e42
tas_mon_CanESM5_historical_r3i1p2f1_native.nc,hdl:21.14100/6d238efa-49d7-4a6d-97a4-4abe66af6b9d
tas_mon_CanESM5_historical_r40i1p2f1_native.nc,hdl:21.14100/6f618938-05e2-4409-b4ab-0b765e2a8489
